theta,d_theta,-3.0,0.0,3.0
-3.1416,-47.1239,0.0,0.0,0.0
-3.1416,-44.7073,0.0,0.0,0.0
-3.1416,-42.2907,0.0,0.0,0.0
-3.1416,-39.8741,0.0,0.0,0.0
-3.1416,-37.4575,0.0,0.0,0.0
-3.1416,-35.0408,0.0,0.0,0.0
-3.1416,-32.6242,-90.97684187586034,-85.80430946432645,-129.84855915171337
-3.1416,-30.2076,-671.0198457775227,-663.9507102550469,-709.323115282205
-3.1416,-27.791,-1101.6326937841893,-1099.6138214687307,-1130.032381328952
-3.1416,-25.3744,-1379.3181043645022,-1392.245623690883,-846.9662419663038
-3.1416,-22.9578,-1310.8173283728906,-1281.5485293038446,-1282.96113036515
-3.1416,-20.5412,-1775.7233054853868,-1870.601160013915,-1595.7727924987867
-3.1416,-18.1246,-1749.3326094478184,-1746.4517591823183,-1745.528160053387
-3.1416,-15.708,-1904.3077028938935,-1903.1610112442913,-1886.2526233990493
-3.1416,-13.2914,-1831.08218569036,-1819.6861987053342,-1829.2093710352724
-3.1416,-10.8747,-1786.0383672518985,-1783.068786844507,-1759.4894308346436
-3.1416,-8.4581,-1733.8192075872566,-1717.3515393531031,-1689.3717163988204
-3.1416,-6.0415,-1656.7387530317353,-1626.713778092676,-1657.179599470783
-3.1416,-3.6249,-1649.1961190522973,-1643.6481648158392,-1617.6580151922533
-3.1416,-1.2083,-1620.369862180061,-1609.6782750294233,-1627.6314100654747
-3.1416,1.2083,-1651.196482030286,-1643.141072278878,-1625.05358466892
-3.1416,3.6249,-1635.2814598864652,-1635.349274951228,-1593.319651384201
-3.1416,6.0415,-1610.7391009204905,-1610.6982064837496,-1578.8866089779874
-3.1416,8.4581,-1581.6451465957143,-1556.3458586577049,-1550.4539579877408
-3.1416,10.8747,-1551.749083061103,-1546.3412271405593,-1500.5400494178411
-3.1416,13.2914,-1522.033005769695,-1479.6480864214366,-1457.2464584244572
-3.1416,15.708,-1482.543062958744,-1481.4772014135258,-1481.3731225894264
-3.1416,18.1246,-1363.7637148061037,-1362.5393597311688,-1340.0974976493046
-3.1416,20.5412,-1289.7349901885227,-1227.3202362745608,-1328.9627327458127
-3.1416,22.9578,-941.6414373301925,-1278.1394063183322,-1320.5496114206794
-3.1416,25.3744,-1640.6162613758638,-1338.5049207369843,-1640.7200523333386
-3.1416,27.791,-635.7517737344266,-686.746760702486,-607.1583885592848
-3.1416,30.2076,-51.18834041434303,-73.40603284065044,-13.850896057511363
-3.1416,32.6242,0.0,0.0,0.0
-3.1416,35.0408,0.0,0.0,0.0
-3.1416,37.4575,0.0,0.0,0.0
-3.1416,39.8741,0.0,0.0,0.0
-3.1416,42.2907,0.0,0.0,0.0
-3.1416,44.7073,0.0,0.0,0.0
-3.1416,47.1239,0.0,0.0,0.0
-3.0351,-47.1239,0.0,0.0,0.0
-3.0351,-44.7073,0.0,0.0,0.0
-3.0351,-42.2907,0.0,0.0,0.0
-3.0351,-39.8741,0.0,0.0,0.0
-3.0351,-37.4575,0.0,0.0,0.0
-3.0351,-35.0408,0.0,0.0,0.0
-3.0351,-32.6242,0.0,0.0,0.0
-3.0351,-30.2076,0.0,0.0,0.0
-3.0351,-27.791,0.0,0.0,0.0
-3.0351,-25.3744,-405.1868423106127,-388.1443903081822,-443.42929662118877
-3.0351,-22.9578,-1058.977872763678,-1042.750047648826,-1137.8173795075613
-3.0351,-20.5412,-1149.5846096555003,-1664.000714310147,-1554.7788555614354
-3.0351,-18.1246,-1706.2704174564385,-1249.1112501942437,-1724.9015482384414
-3.0351,-15.708,-1858.2633035758245,-1853.567889821049,-1854.2191845556374
-3.0351,-13.2914,-1818.2970004814324,-1816.0165719799734,-1816.727985891146
-3.0351,-10.8747,-1741.5911433558285,-1742.825673653028,-1746.739034693233
-3.0351,-8.4581,-1619.2556499187951,-1622.1572166838264,-1611.8907742575086
-3.0351,-6.0415,-1601.503169451075,-1604.0508435049578,-1605.8367831126034
-3.0351,-3.6249,-1542.2114871916085,-1553.5031650232193,-1542.4812579126658
-3.0351,-1.2083,-1656.62138074005,-1668.9876606819707,-1668.8249027441802
-3.0351,1.2083,-1691.765134906815,-1674.5931200255657,-1589.2792618993772
-3.0351,3.6249,-1577.762492435046,-1586.7710193511268,-1548.496284734262
-3.0351,6.0415,-1457.2668836355756,-1452.0221971398414,-1460.075176634618
-3.0351,8.4581,-1385.3598555486874,-1362.0948700812137,-1371.106550724741
-3.0351,10.8747,-1272.7147031348811,-1266.9235663151978,-1265.2154333499207
-3.0351,13.2914,-1242.7912400831049,-1242.155298639525,-1231.1598167461598
-3.0351,15.708,-1172.197112556578,-1172.5577927002375,-1161.18878232831
-3.0351,18.1246,-1104.650164549986,-1100.6201448174847,-1099.8252182227359
-3.0351,20.5412,-1026.3088759954492,-1015.4446881722538,-1015.1929006662461
-3.0351,22.9578,-806.6523873189999,-786.1403660450119,-699.8757892775992
-3.0351,25.3744,-109.24753261969285,-133.7610190133114,-72.34848205816428
-3.0351,27.791,-26.62531283680095,-25.531520369790876,-25.824937376961337
-3.0351,30.2076,0.0,0.0,0.0
-3.0351,32.6242,0.0,0.0,0.0
-3.0351,35.0408,0.0,0.0,0.0
-3.0351,37.4575,0.0,0.0,0.0
-3.0351,39.8741,0.0,0.0,0.0
-3.0351,42.2907,0.0,0.0,0.0
-3.0351,44.7073,0.0,0.0,0.0
-3.0351,47.1239,0.0,0.0,0.0
-2.9286,-47.1239,0.0,0.0,0.0
-2.9286,-44.7073,0.0,0.0,0.0
-2.9286,-42.2907,0.0,0.0,0.0
-2.9286,-39.8741,0.0,0.0,0.0
-2.9286,-37.4575,0.0,0.0,0.0
-2.9286,-35.0408,0.0,0.0,0.0
-2.9286,-32.6242,0.0,0.0,0.0
-2.9286,-30.2076,0.0,0.0,0.0
-2.9286,-27.791,0.0,0.0,-121.74066733665487
-2.9286,-25.3744,-211.20116052110905,-278.0048441658124,-264.84704373402843
-2.9286,-22.9578,-1023.9556191725372,-1021.2027483884272,-1063.7493948426695
-2.9286,-20.5412,-1128.4988665813023,-1428.5415052075712,-1516.5511159818627
-2.9286,-18.1246,-1568.319311758213,-1547.212047581111,-1491.3799876202092
-2.9286,-15.708,-1728.3606281896402,-1719.5210212021423,-1719.3868628231346
-2.9286,-13.2914,-1769.6125679549077,-1774.9790276617282,-1776.7488535841028
-2.9286,-10.8747,-1665.3704110663793,-1663.6009028695662,-1672.4461396177282
-2.9286,-8.4581,-1497.547365441533,-1498.7155884994474,-1495.164384309802
-2.9286,-6.0415,-1533.5661876681368,-1537.2787333621104,-1540.153076125811
-2.9286,-3.6249,-1501.8977808967024,-1506.0334571658416,-1513.5632680852395
-2.9286,-1.2083,-1461.399979207688,-1462.9295167148784,-1463.6710964966608
-2.9286,1.2083,-1531.6456783623107,-1529.5889130413689,-1511.2360888070964
-2.9286,3.6249,-1493.3794879014963,-1489.1101278708445,-1461.1545797683036
-2.9286,6.0415,-1431.5031474831612,-1431.3440882161863,-1406.5234215265348
-2.9286,8.4581,-1320.457603149798,-1317.331229205364,-1313.0963214495166
-2.9286,10.8747,-1227.6791890384093,-1215.9364661789375,-1218.4480894994522
-2.9286,13.2914,-1189.491601829771,-1191.1564120657622,-1186.2859212050664
-2.9286,15.708,-1114.714171459166,-1102.6731622724176,-1100.294864238434
-2.9286,18.1246,-1046.3398098822072,-1044.3195728544242,-1043.5622274534476
-2.9286,20.5412,-956.3640741377859,-955.2463903317745,-955.6045866757172
-2.9286,22.9578,-744.6972087383118,-714.4567399038498,-660.5970151877431
-2.9286,25.3744,-97.03088636276745,-57.47369591107816,-63.1932176994929
-2.9286,27.791,-27.068719307217826,-22.950160258973646,-25.227253360255787
-2.9286,30.2076,0.0,0.0,0.0
-2.9286,32.6242,0.0,0.0,0.0
-2.9286,35.0408,0.0,0.0,0.0
-2.9286,37.4575,0.0,0.0,0.0
-2.9286,39.8741,0.0,0.0,0.0
-2.9286,42.2907,0.0,0.0,0.0
-2.9286,44.7073,0.0,0.0,0.0
-2.9286,47.1239,0.0,0.0,0.0
-2.8221,-47.1239,0.0,0.0,0.0
-2.8221,-44.7073,0.0,0.0,0.0
-2.8221,-42.2907,0.0,0.0,0.0
-2.8221,-39.8741,0.0,0.0,0.0
-2.8221,-37.4575,0.0,0.0,0.0
-2.8221,-35.0408,0.0,0.0,0.0
-2.8221,-32.6242,0.0,0.0,0.0
-2.8221,-30.2076,0.0,0.0,0.0
-2.8221,-27.791,-12.004148406020883,0.0,0.0
-2.8221,-25.3744,-14.068591453124732,-34.62493788130625,-110.8993789000821
-2.8221,-22.9578,-1026.5054562962805,-1036.1382561999726,-1084.3060826983542
-2.8221,-20.5412,-1134.639285267703,-1414.7599517586063,-1421.3413005293858
-2.8221,-18.1246,-1528.2152231252417,-1449.6642697463342,-1448.5193068321096
-2.8221,-15.708,-1588.4486527435085,-1579.6651674648626,-1584.8420824095024
-2.8221,-13.2914,-1678.220129978122,-1675.7488518995074,-1687.168571281065
-2.8221,-10.8747,-1589.4718721904756,-1579.6676419002902,-1584.2174919094077
-2.8221,-8.4581,-1344.9949646015402,-1349.8669313338573,-1355.131339160157
-2.8221,-6.0415,-1465.751823644071,-1459.2298098721337,-1458.0441926003216
-2.8221,-3.6249,-1423.9956158832235,-1419.576470659599,-1415.654292493281
-2.8221,-1.2083,-1397.913880412706,-1403.0066730041447,-1416.5246434737808
-2.8221,1.2083,-1416.871169946558,-1428.009817392842,-1429.59053358885
-2.8221,3.6249,-1441.1445670248852,-1431.5157481512908,-1418.0422124950135
-2.8221,6.0415,-1397.2001413147227,-1398.0773731725587,-1373.6081806959307
-2.8221,8.4581,-1278.5261319469919,-1259.9680611593774,-1248.3552070066228
-2.8221,10.8747,-1173.666578863091,-1164.0699623145824,-1167.3380424295983
-2.8221,13.2914,-1129.7750186523388,-1124.7511209069667,-1129.0012960587974
-2.8221,15.708,-1065.5515540233034,-1046.5208088682211,-1048.4193259341446
-2.8221,18.1246,-977.8317657206644,-981.7719706370558,-976.2105693669155
-2.8221,20.5412,-903.9565228277042,-905.4318271771715,-902.0091708078165
-2.8221,22.9578,-664.2592712263942,-650.0535509439447,-649.7308838113206
-2.8221,25.3744,-120.01016676096512,-100.9082305987167,-88.8764750268344
-2.8221,27.791,-12.924778992929266,-23.339197298651552,-12.637457460757478
-2.8221,30.2076,0.0,0.0,0.0
-2.8221,32.6242,0.0,0.0,0.0
-2.8221,35.0408,0.0,0.0,0.0
-2.8221,37.4575,0.0,0.0,0.0
-2.8221,39.8741,0.0,0.0,0.0
-2.8221,42.2907,0.0,0.0,0.0
-2.8221,44.7073,0.0,0.0,0.0
-2.8221,47.1239,0.0,0.0,0.0
-2.7156,-47.1239,0.0,0.0,0.0
-2.7156,-44.7073,0.0,0.0,0.0
-2.7156,-42.2907,0.0,0.0,0.0
-2.7156,-39.8741,0.0,0.0,0.0
-2.7156,-37.4575,0.0,0.0,0.0
-2.7156,-35.0408,0.0,0.0,0.0
-2.7156,-32.6242,0.0,0.0,0.0
-2.7156,-30.2076,0.0,0.0,0.0
